area,rooms,location,price
891,3,A,248274.78435335786
2198,2,A,460633.51915053936
918,2,A,185572.89517574737
2836,2,C,381241.0329409045
878,1,A,196732.26767518232
2296,1,B,344298.95285448787
2778,1,C,383918.92258842645
3565,3,A,791533.4473615101
2588,6,C,442599.71688730846
3599,5,B,649113.6997166374
2682,2,A,543031.1450541862
700,2,A,171466.7068295667
2363,3,B,388087.2517816165
1279,2,A,255051.6453089915
3477,1,C,438513.89189380064
3604,5,A,749502.3896031793
3619,4,B,620120.1049619381
1002,2,A,264286.66229140724
2954,1,C,476484.52046282624
2251,4,B,394207.44524979725
1304,5,A,356423.1658030897
2646,4,A,583822.5304529022
3231,1,A,638987.9284165432
2395,6,A,583978.2678433823
3273,6,A,754374.422603867
2070,4,B,436090.5882388335
1460,3,B,224859.64554051732
3160,4,B,645280.9812500583
1985,2,C,335726.5196956447
3190,2,B,545812.2927931444
1528,6,B,303160.86624604446
3789,3,B,633710.7039339414
1002,1,A,223711.97917563378
3314,2,A,710421.9153377307
897,6,A,263783.8624074183
1370,5,A,328869.0001694508
3342,6,A,804268.9107448999
892,2,A,211071.38093499342
706,2,C,107605.48916222804
1538,6,B,344498.5974533817
2381,1,A,461334.2910940674
3439,4,A,772419.650568314
1984,2,A,437407.140092283
1363,6,A,303904.4840878265
3290,6,A,699644.9016129448
3812,3,C,574930.3500882473
1063,4,A,292113.7207105208
1520,5,C,260376.7528890308
595,1,C,141824.7332936417
2423,5,A,572059.0454558381
2257,4,B,449899.15958233655
3032,4,B,552889.7376155356
3978,4,A,867105.7130319403
2778,5,A,601654.0624569997
3296,4,B,565736.9123529171
2178,6,B,411656.33186258347
3742,5,C,596064.5930632012
1040,4,C,203497.5867558899
1559,6,B,327144.57204727846
3072,3,C,470820.29722692224
1683,4,B,333516.5114707745
2222,5,B,424488.12833320483
3814,2,B,604350.2179547914
3657,4,A,842144.7271858503
2319,2,B,388879.6445742058
3125,6,B,608281.2083286763
3229,3,A,743646.3087453267
3104,1,C,408938.8241933396
2097,3,A,498861.4824178781
3560,4,B,616570.375622323
3193,2,B,536194.0301705983
1295,2,B,241399.19703747975
1551,5,A,384244.1776750862
2143,2,C,310461.5454605268
1863,5,B,317366.3595333213
2481,6,A,577366.6008154699
1854,1,A,467694.3618456522
2163,4,B,313374.87313593936
2029,5,A,502182.2132068524
2538,1,A,574693.7480006893
3919,2,B,625884.5684214154
1996,2,A,425076.8325977136
3802,1,B,607308.4852616997
2737,2,A,650388.9613193563
3796,6,B,719430.7580033335
1908,6,A,495222.76123394194
1900,1,B,327119.41677984386
1806,5,A,468622.7584924893
3180,5,B,574452.9029881377
3175,1,A,717524.7288163167
1472,5,C,244259.10727663338
2268,5,B,403842.7424985969
1782,6,C,354898.5079899583
3930,5,B,697824.537180046
1209,3,A,256926.00275272608
1979,4,C,279875.9830753008
1934,2,A,398942.6398094288
1148,3,A,296413.27053088107
817,5,A,218604.11368864353
3796,6,B,755278.7692799125
1757,1,B,335490.34546972363
1183,5,A,306144.14390281914
1163,6,C,259121.9262359485
2498,4,A,549714.7799059155
3945,5,A,822806.4258752208
2131,1,A,427822.5082727578
1995,6,A,483366.2348810881
3804,6,A,852163.7558348658
1636,6,B,354672.4616477238
2353,4,B,424506.58655969595
2020,5,A,496641.04177885177
2989,4,A,712719.1489169287
1063,2,A,239399.12448167684
1791,2,C,278439.3586613336
3957,5,A,828326.394782743
3958,4,B,689353.1806377833
3684,1,C,470381.25622761936
2136,6,B,416796.8033138804
3499,6,C,539444.99270032
3652,5,A,823900.2907374138
1198,2,B,203266.32230611122
2660,2,B,527854.0658520451
501,6,B,104624.35465070794
1141,5,A,249735.62518515452
2767,4,A,670719.3512720976
2089,2,A,437561.6260823032
1354,4,B,235069.27937390708
2259,2,C,394052.3569316934
3796,2,B,675911.6815047069
2932,3,A,627886.0635558533
3974,2,C,563015.2371708069
2161,1,A,522186.1385448305
1653,5,A,417878.620428526
1576,5,A,419544.45365319325
2207,4,B,428299.0953620142
3277,2,A,736077.6003786062
2195,1,B,373367.25087731285
2233,4,C,341795.4543692866
1939,3,A,445201.5115604536
2794,4,B,523043.58422350907
1335,4,A,311850.5405250216
702,2,A,171081.61803509016
3755,3,A,809239.6315213204
622,4,A,174090.54465983587
900,1,B,120970.11007054459
1266,1,A,354039.32400878554
793,5,B,158856.7964366337
2827,3,B,485611.1782572171
3431,3,B,571537.0681933559
697,5,B,183476.2624749362
3529,4,B,616404.92106273
2430,3,A,511385.77469708346
3299,1,A,722496.5009867303
2691,1,C,397034.4744376837
1108,2,B,200813.71026568202
3772,3,A,802211.2214585377
1647,4,A,451601.98016679153
686,5,A,204262.02891575694
3897,5,C,537872.9304514003
3011,4,A,714731.213830083
3920,6,A,857526.7575176229
2294,2,A,583996.3502080975
1159,5,A,295779.7357258276
3311,3,C,507384.4810816606
3502,2,A,693019.473174593
2455,3,C,322900.7734773011
2950,1,A,669515.7885928215
1869,2,C,281849.4519688741
2486,5,A,633331.8926814222
2034,2,A,461695.25315688766
646,2,B,130948.8871922312
3719,2,C,573472.2197246662
3411,6,C,550789.1099767634
2234,2,B,382722.1640217114
